state,action,,,,,,,,,,,,,,,,,,,,,,,,,,goto,,,,,,,,,,,,,,
,.,let,id,be,int,set,U,+,-,I,*,num,(,),{,},:,|,&,!,<,>,=,@,show,$,S',S,D',D,T,E,E',E'',Z,P,P',P'',R,C,A
0,,s6,,,,,,,,,,,,,,,,,,,,,,,s5,,,1,2,4,,,,,,,,,,3,
1,,,,,,,,,,,,,,,,,,,,,,,,,,acc,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,,,,,,,,s5,,,,,,,,,,,,,,,7,
3,s8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,s6,,,,,,,,,,,,,,,,,,,,,,,r4,,,,9,4,,,,,,,,,,,
5,,,s18,,,,,,,,,s17,s19,,s20,,,,,s22,,,,,,,,,,,,11,13,15,,12,14,16,21,,10
6,,,,,s24,s25,,,,,,,,,,,,,,,,,,,,,,,,,23,,,,,,,,,,
7,s26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,,,,,,,,,,,,,r2,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,,,,,,,,,,r3,,,,,,,,,,,,,,,,
10,r31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,r32,,,,,,s27,s28,s29,,,,,,,,,,,,s30,s31,s32,s33,,,,,,,,,,,,,,,,,
12,r33,,,,,,,,,,,,,,,,,s34,,,,,,,,,,,,,,,,,,,,,,,
13,r8,,,,,,r8,r8,r8,s35,s36,,,r8,,r8,,r8,r8,,r8,r8,r8,r8,,,,,,,,,,,,,,,,,
14,r21,,,,,,,,,,,,,r21,,r21,,r21,s37,,,,,,,,,,,,,,,,,,,,,,
15,r12,,,,,,r12,r12,r12,r12,r12,,,r12,,r12,,r12,r12,,r12,r12,r12,r12,,,,,,,,,,,,,,,,,
16,r23,,,,,,,,,,,,,r23,,r23,,r23,r23,,,,,,,,,,,,,,,,,,,,,,
17,r15,,,,,,r15,r15,r15,r15,r15,,,r15,,r15,,r15,r15,,r15,r15,r15,r15,,,,,,,,,,,,,,,,,
18,r16,,,,,,r16,r16,r16,r16,r16,,,r16,,r16,,r16,r16,,r16,r16,r16,r16,,,,,,,,,,,,,,,,,
19,,,s18,,,,,,,,,s17,s19,,s20,,,,,s22,,,,,,,,,,,,38,13,15,,39,14,16,21,,
20,,,s41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,,,,,,
21,r24,,,,,,,,,,,,,r24,,r24,,r24,r24,,,,,,,,,,,,,,,,,,,,,,
22,,,s18,,,,,,,,,s17,s44,,s20,,,,,,,,,,,,,,,,,43,13,15,,,,,42,,
23,,,s45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,,,r6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,,,r7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,,,,,,,,,,,,,,,,,,,,,,,,,,r1,,,,,,,,,,,,,,,
27,,,s18,,,,,,,,,s17,s44,,s20,,,,,,,,,,,,,,,,,,46,15,,,,,,,
28,,,s18,,,,,,,,,s17,s44,,s20,,,,,,,,,,,,,,,,,,47,15,,,,,,,
29,,,s18,,,,,,,,,s17,s44,,s20,,,,,,,,,,,,,,,,,,48,15,,,,,,,
30,,,s18,,,,,,,,,s17,s44,,s20,,,,,,,,,,,,,,,,,49,13,15,,,,,,,
31,,,s18,,,,,,,,,s17,s44,,s20,,,,,,,,,,,,,,,,,50,13,15,,,,,,,
